paper_idx,voltage,workload,cgate,E_per_mac,layer_node,mac_number,Etotal,Ewlbl,Emul,Eadder,Emem,Emem_O,Emem_W,Emem_I,utilization_O,utilization_W,utilization_I,latency_wo_onload_wo_offload,latency_w_onload_wo_offload,latency_w_onload_w_offload
1,0.6,mb_v1,0.636,0.099,LayerNode_57,512,50.776,0.0,1.876,46.415,2.486,0.082,0.059,2.345,1.0,1.0,1.0,6.0,7.0,8.0
1,0.6,mb_v1,0.636,0.095,LayerNode_24,294912,27879.518,0.0,1080.369,26734.908,64.241,42.202,0.938,21.101,1.0,1.0,1.0,36,52,53
1,0.6,mb_v1,0.636,0.095,LayerNode_32,589824,55843.439,0.0,2160.738,53469.816,212.885,168.808,1.876,42.202,1.0,1.0,1.0,158.0,174.0,175.0
1,0.7,mb_v1,0.636,0.129,LayerNode_40,589824,76009.126,0.0,2941.004,72778.361,289.76,229.766,2.553,57.441,1.0,1.0,1.0,158.0,174.0,175.0
1,0.7,mb_v1,0.636,0.5,LayerNode_8,294912,147371.953,0.0,1470.502,145556.722,344.729,229.766,0.08,114.883,1.0,1.0,1.0,576,577,578
1,0.7,mb_v1,0.636,0.129,LayerNode_48,294912,37991.798,0.0,1470.502,36389.181,132.115,71.802,45.953,14.36,1.0,1.0,1.0,561.0,593.0,594.0
1,0.7,mb_v1,0.636,0.994,LayerNode_4,294912,293273.265,0.0,1470.502,291113.445,689.318,459.532,0.02,229.766,1.0,1.0,1.0,2304,2305,2306
1,0.7,mb_v1,0.636,0.129,LayerNode_24,294912,37947.121,0.0,1470.502,36389.181,87.439,57.441,1.276,28.721,1.0,1.0,1.0,36,52,53
1,0.7,mb_v1,0.636,0.129,LayerNode_36,589824,76009.126,0.0,2941.004,72778.361,289.76,229.766,2.553,57.441,1.0,1.0,1.0,158.0,174.0,175.0
1,0.7,mb_v1,0.636,0.129,LayerNode_32,589824,76009.126,0.0,2941.004,72778.361,289.76,229.766,2.553,57.441,1.0,1.0,1.0,158.0,174.0,175.0
1,0.7,mb_v1,0.636,0.129,LayerNode_52,589824,75969.236,0.0,2941.004,72778.361,249.87,129.243,91.906,28.721,1.0,1.0,1.0,1155.0,1187.0,1188.0
1,0.7,mb_v1,0.636,0.252,LayerNode_16,294912,74421.507,0.0,1470.502,72778.361,172.644,114.883,0.319,57.441,1.0,1.0,1.0,144,148,149
1,0.7,mb_v1,0.636,0.299,LayerNode_0,497664,148916.903,0.0,2481.472,145556.722,878.709,229.766,0.034,648.909,1.0,1.0,1.0,2304,2305,2306
1,0.7,mb_v1,0.636,0.129,LayerNode_44,589824,76009.126,0.0,2941.004,72778.361,289.76,229.766,2.553,57.441,1.0,1.0,1.0,158.0,174.0,175.0
1,0.7,mb_v1,0.636,0.135,LayerNode_57,512,69.112,0.0,2.553,63.176,3.383,0.112,0.08,3.191,1.0,1.0,1.0,6.0,7.0,8.0
1,0.7,mb_v1,0.636,0.129,LayerNode_28,589824,76009.126,0.0,2941.004,72778.361,289.76,229.766,2.553,57.441,1.0,1.0,1.0,158.0,174.0,175.0
1,0.7,mb_v1,0.636,0.129,LayerNode_20,589824,75949.769,0.0,2941.004,72778.361,230.404,114.883,0.638,114.883,1.0,1.0,1.0,144,152,153
